"posicion","variable","tipo_R","es_procedencia"
1,"fila_en_bloque","character",TRUE
2,"directorio","character",FALSE
3,"secuencia_p","character",FALSE
4,"orden","character",FALSE
5,"clase","character",FALSE
6,"dominio","character",FALSE
7,"mes","character",FALSE
8,"estrato1","character",FALSE
9,"sex","character",FALSE
10,"age","character",FALSE
11,"p6050","character",FALSE
12,"p6090","character",FALSE
13,"p6100","character",FALSE
14,"p6210","character",FALSE
15,"p6210s1","character",FALSE
16,"p6240","character",FALSE
17,"oficio","character",FALSE
18,"p6426","character",FALSE
19,"relab","character",FALSE
20,"p6500","character",FALSE
21,"p6510","character",FALSE
22,"p6510s1","character",FALSE
23,"p6510s2","character",FALSE
24,"p6545","character",FALSE
25,"p6545s1","character",FALSE
26,"p6545s2","character",FALSE
27,"p6580","character",FALSE
28,"p6580s1","character",FALSE
29,"p6580s2","character",FALSE
30,"p6585s1","character",FALSE
31,"p6585s1a1","character",FALSE
32,"p6585s1a2","character",FALSE
33,"p6585s2","character",FALSE
34,"p6585s2a1","character",FALSE
35,"p6585s2a2","character",FALSE
36,"p6585s3","character",FALSE
37,"p6585s3a1","character",FALSE
38,"p6585s3a2","character",FALSE
39,"p6585s4","character",FALSE
40,"p6585s4a1","character",FALSE
41,"p6585s4a2","character",FALSE
42,"p6590","character",FALSE
43,"p6590s1","character",FALSE
44,"p6600","character",FALSE
45,"p6600s1","character",FALSE
46,"p6610","character",FALSE
47,"p6610s1","character",FALSE
48,"p6620","character",FALSE
49,"p6620s1","character",FALSE
50,"p6630s1","character",FALSE
51,"p6630s1a1","character",FALSE
52,"p6630s2","character",FALSE
53,"p6630s2a1","character",FALSE
54,"p6630s3","character",FALSE
55,"p6630s3a1","character",FALSE
56,"p6630s4","character",FALSE
57,"p6630s4a1","character",FALSE
58,"p6630s6","character",FALSE
59,"p6630s6a1","character",FALSE
60,"p6750","character",FALSE
61,"p6760","character",FALSE
62,"p550","character",FALSE
63,"hoursWorkUsual","character",FALSE
64,"p6870","character",FALSE
65,"p6920","character",FALSE
66,"p7040","character",FALSE
67,"hoursWorkActualSecondJob","character",FALSE
68,"p7050","character",FALSE
69,"p7070","character",FALSE
70,"p7090","character",FALSE
71,"p7110","character",FALSE
72,"p7120","character",FALSE
73,"p7140s1","character",FALSE
74,"p7140s2","character",FALSE
75,"p7150","character",FALSE
76,"p7160","character",FALSE
77,"p7310","character",FALSE
78,"p7350","character",FALSE
79,"p7422","character",FALSE
