"variable","descripcion","origen","en_muestra_principal","tipo_R"
"id_persona","Llave unica de persona: directorio-secuencia_p-orden","construida",TRUE,"character"
"directorio","Llave de vivienda (GEIH)","original",TRUE,"integer"
"secuencia_p","Llave de hogar dentro de la vivienda","original",TRUE,"integer"
"orden","Llave de persona dentro del hogar","original",TRUE,"integer"
"chunk","Bloque del sitio (1-10); sigue el calendario de la encuesta","script 01",TRUE,"integer"
"muestra_ps3","entrenamiento (bloques 1-7) o validacion (bloques 8-10), seccion 3","script 01",TRUE,"character"
"entrenamiento","TRUE si muestra_ps3 == entrenamiento","construida",TRUE,"logical"
"mes","Mes de la entrevista (1-12)","original",TRUE,"integer"
"mes_f","mes como factor","construida",TRUE,"factor"
"fex_c","Factor de expansion anualizado (no se usa en los modelos)","original",TRUE,"numeric"
"muestra_principal","TRUE si la persona entra a la muestra de analisis (ingreso positivo observado)","construida",FALSE,"logical"
"motivo_exclusion","Por que no entra a la muestra principal; NA si entra","construida",FALSE,"character"
"y_total_m","Ingreso laboral mensual nominal 2018: asalariado + independiente (pesos)","original",TRUE,"numeric"
"log_y","log(y_total_m); variable dependiente de las tres secciones","construida",TRUE,"numeric"
"y_total_m_ha","Ingreso laboral por hora = y_total_m / (totalHoursWorked x 30/7)","original",TRUE,"numeric"
"y_ingLab_m","Componente asalariado de y_total_m (todas las ocupaciones)","original",TRUE,"numeric"
"y_gananciaIndep_m","Componente independiente de y_total_m (= p6750 / p6760)","original",TRUE,"numeric"
"y_salary_m","Salario mensual ocupacion principal (= p6500; 0 convertido a NA en la fuente)","original",TRUE,"integer"
"impa","Ingreso monetario primera actividad segun DANE, antes de imputacion (referencia)","original",TRUE,"numeric"
"impaes","Ingreso primera actividad imputado por DANE, solo faltantes/extremos (referencia)","original",TRUE,"integer"
"age","Edad en anos","original",TRUE,"integer"
"sex","1 = hombre, 0 = mujer (codificacion de la fuente)","original",TRUE,"integer"
"female","1 = mujer, 0 = hombre (= 1 - sex)","construida",TRUE,"integer"
"jefe_hogar","1 si es jefe o jefa del hogar (p6050 == 1)","construida",TRUE,"integer"
"estrato1","Estrato socioeconomico de la vivienda (1-6)","original",TRUE,"integer"
"estrato_f","estrato1 como factor","construida",TRUE,"factor"
"maxEducLevel","Maximo nivel educativo (1 ninguno ... 7 terciaria)","original",TRUE,"integer"
"educ_f","maxEducLevel como factor con etiquetas","construida",TRUE,"factor"
"terciaria","1 si educacion terciaria (maxEducLevel == 7); reemplaza a college","construida",TRUE,"integer"
"anios_educ","Anos de educacion aproximados desde p6210 y p6210s1 (superior = 11 + anos aprobados)","construida",TRUE,"numeric"
"p6210","Nivel educativo mas alto (pregunta original)","original",TRUE,"integer"
"p6210s1","Ultimo grado o ano aprobado en ese nivel","original",TRUE,"numeric"
"relab","Tipo de ocupacion (1-9, codigo original)","original",TRUE,"integer"
"relab_f","relab como factor; 6 y 7 = Sin remuneracion, 8 y 9 = Otro","construida",TRUE,"factor"
"oficio","Ocupacion a dos digitos (codigo original)","original",TRUE,"integer"
"oficio_f","oficio como factor; codigos con pocas observaciones agrupados en Otros","construida",TRUE,"factor"
"oficio_grupo","Grupo mayor de ocupacion (7 categorias)","construida",TRUE,"factor"
"sizeFirm","Tamano de la empresa (1-5, codigo original)","original",TRUE,"integer"
"sizeFirm_f","sizeFirm como factor con etiquetas","construida",TRUE,"factor"
"microEmpresa","1 si la empresa tiene 5 trabajadores o menos (incluye cuenta propia)","original",TRUE,"integer"
"cuentaPropia","1 si trabajador por cuenta propia (relab == 4)","original",TRUE,"integer"
"formal","1 si formal segun seguridad social (definicion de la fuente)","original",TRUE,"integer"
"cotPension","1 cotiza, 2 no cotiza, 3 pensionado","original",TRUE,"integer"
"cotiza_pension","1 si cotiza actualmente a pension (cotPension == 1)","construida",TRUE,"integer"
"regSalud","Regimen de salud: 1 contributivo, 2 especial, 3 subsidiado; NA frecuente","original",TRUE,"integer"
"p6426","Meses en la empresa o negocio actual","original",TRUE,"integer"
"antiguedad_anios","p6426 / 12","construida",TRUE,"numeric"
"totalHoursWorked","Horas trabajadas la semana pasada, todas las ocupaciones","original",TRUE,"integer"
"hoursWorkUsual","Horas semanales usuales en la ocupacion principal","original",TRUE,"integer"
"segundo_empleo","1 si tenia un segundo trabajo la semana pasada (p7040 == 1)","construida",TRUE,"integer"
"alerta_ingreso_bajo","TRUE si el ingreso por hora es menor que la fraccion configurada del minimo por hora","construida",TRUE,"logical"
"alerta_ingreso_alto","TRUE si el ingreso mensual supera el multiplo configurado del SMMLV","construida",TRUE,"logical"
"alerta_horas_altas","TRUE si totalHoursWorked supera el maximo plausible configurado","construida",TRUE,"logical"
"alerta_extremo","TRUE si se activa cualquiera de las alertas anteriores","construida",TRUE,"logical"
