"oficio","n_muestra_principal","agrupado_en_otros"
1,18,TRUE
2,264,FALSE
3,473,FALSE
4,4,TRUE
5,26,FALSE
6,122,FALSE
7,80,FALSE
8,155,FALSE
9,58,FALSE
11,231,FALSE
12,204,FALSE
13,476,FALSE
14,5,TRUE
15,56,FALSE
16,129,FALSE
17,54,FALSE
18,53,FALSE
19,195,FALSE
20,1,TRUE
21,570,FALSE
30,109,FALSE
31,12,TRUE
32,119,FALSE
33,455,FALSE
34,58,FALSE
35,10,TRUE
36,47,FALSE
37,169,FALSE
38,228,FALSE
39,884,FALSE
40,39,FALSE
41,505,FALSE
42,53,FALSE
43,16,TRUE
44,216,FALSE
45,1502,FALSE
49,6,TRUE
50,32,FALSE
51,82,FALSE
52,5,TRUE
53,639,FALSE
54,753,FALSE
55,594,FALSE
56,45,FALSE
57,196,FALSE
58,619,FALSE
59,376,FALSE
61,21,FALSE
62,36,FALSE
63,2,TRUE
70,60,FALSE
72,8,TRUE
73,2,TRUE
74,11,TRUE
75,27,FALSE
76,3,TRUE
77,182,FALSE
78,1,TRUE
79,461,FALSE
80,107,FALSE
81,98,FALSE
82,1,TRUE
83,108,FALSE
84,217,FALSE
85,171,FALSE
86,5,TRUE
87,148,FALSE
88,5,TRUE
89,21,FALSE
90,56,FALSE
91,12,TRUE
92,47,FALSE
93,113,FALSE
94,37,FALSE
95,566,FALSE
96,2,TRUE
97,442,FALSE
98,746,FALSE
99,105,FALSE
