"chunk","observaciones","variables_originales","muestra_ps3","url_pagina","url_tabla"
1,3217,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page1.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html"
2,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page2.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_2.html"
3,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page3.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_3.html"
4,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page4.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_4.html"
5,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page5.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_5.html"
6,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page6.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_6.html"
7,3218,177,"entrenamiento","https://ignaciomsarmiento.github.io/GEIH2018_sample/page7.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_7.html"
8,3218,177,"validacion","https://ignaciomsarmiento.github.io/GEIH2018_sample/page8.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_8.html"
9,3217,177,"validacion","https://ignaciomsarmiento.github.io/GEIH2018_sample/page9.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_9.html"
10,3217,177,"validacion","https://ignaciomsarmiento.github.io/GEIH2018_sample/page10.html","https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_10.html"
