"variable","n_presentes","n_na","valores_observados","valores_esperados","fuera_de_rango"
"clase",32177,0,"1","1",""
"depto",32177,0,"11","11",""
"sex",32177,0,"0, 1","0, 1",""
"mes",32177,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",""
"estrato1",32177,0,"1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",""
"p6050",32177,0,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 2, 3, 4, 5, 6, 7, 8, 9",""
"p6090",27289,4888,"1, 2, 9","1, 2, 9",""
"p6100",24699,7478,"1, 2, 3, 9","1, 2, 3, 9",""
"p6210",31066,1111,"1, 2, 3, 4, 5, 6, 9","1, 2, 3, 4, 5, 6, 9",""
"p6240",27289,4888,"1, 2, 3, 4, 5, 6","1, 2, 3, 4, 5, 6",""
"oficio",16682,15495,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, ... (80 valores)","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, ... (99 valores)",""
"relab",16682,15495,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 2, 3, 4, 5, 6, 7, 8, 9",""
"p6870",16682,15495,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 2, 3, 4, 5, 6, 7, 8, 9",""
"p6920",16663,15514,"1, 2, 3","1, 2, 3",""
"p7040",16682,15495,"1, 2","1, 2",""
"maxEducLevel",28608,3569,"1, 2, 3, 4, 5, 6, 7","1, 2, 3, 4, 5, 6, 7, 9",""
"college",32177,0,"0, 1","0, 1",""
"regSalud",24670,7507,"1, 2, 3","1, 2, 3, 9",""
"cotPension",16663,15514,"1, 2, 3","1, 2, 3, 9",""
"wap",32177,0,"0, 1","0, 1",""
"ocu",32177,0,"0, 1","0, 1",""
"dsi",32177,0,"0, 1","0, 1",""
"pea",32177,0,"0, 1","0, 1",""
"inac",32177,0,"0, 1","0, 1",""
"pet",27289,4888,"1","1",""
"ina",8632,23545,"1","1",""
"formal",16682,15495,"0, 1","0, 1",""
"informal",16682,15495,"0, 1","0, 1",""
"cuentaPropia",32177,0,"0, 1","0, 1",""
"microEmpresa",16682,15495,"0, 1","0, 1",""
"sizeFirm",16682,15495,"1, 2, 3, 4, 5","1, 2, 3, 4, 5",""
