"posicion","variable","tipo_R","n_na"
1,"fila_en_bloque","integer",0
2,"directorio","integer",0
3,"secuencia_p","integer",0
4,"orden","integer",0
5,"clase","integer",0
6,"dominio","character",0
7,"mes","integer",0
8,"estrato1","integer",0
9,"sex","integer",0
10,"age","integer",0
11,"p6050","integer",0
12,"p6090","integer",4888
13,"p6100","integer",7478
14,"p6210","integer",1111
15,"p6210s1","integer",4888
16,"p6240","integer",4888
17,"oficio","integer",15495
18,"p6426","integer",15495
19,"relab","integer",15495
20,"p6500","integer",21549
21,"p6510","integer",21549
22,"p6510s1","integer",21559
23,"p6510s2","integer",31282
24,"p6545","integer",21549
25,"p6545s1","integer",21561
26,"p6545s2","integer",32082
27,"p6580","integer",21549
28,"p6580s1","integer",21553
29,"p6580s2","integer",31811
30,"p6585s1","integer",21549
31,"p6585s1a1","integer",21555
32,"p6585s1a2","integer",31770
33,"p6585s2","integer",21549
34,"p6585s2a1","integer",21603
35,"p6585s2a2","integer",26706
36,"p6585s3","integer",21549
37,"p6585s3a1","integer",21565
38,"p6585s3a2","integer",29876
39,"p6585s4","integer",21549
40,"p6585s4a1","integer",21549
41,"p6585s4a2","integer",32139
42,"p6590","integer",21549
43,"p6590s1","integer",21549
44,"p6600","integer",21549
45,"p6600s1","integer",21549
46,"p6610","integer",21549
47,"p6610s1","integer",21549
48,"p6620","integer",21549
49,"p6620s1","integer",21549
50,"p6630s1","integer",21549
51,"p6630s1a1","integer",21549
52,"p6630s2","integer",21549
53,"p6630s2a1","integer",21549
54,"p6630s3","integer",21549
55,"p6630s3a1","integer",21549
56,"p6630s4","integer",21549
57,"p6630s4a1","integer",21549
58,"p6630s6","integer",21549
59,"p6630s6a1","integer",21549
60,"p6750","integer",27273
61,"p6760","integer",26395
62,"p550","integer",32177
63,"hoursWorkUsual","integer",15495
64,"p6870","integer",15495
65,"p6920","integer",15514
66,"p7040","integer",15495
67,"hoursWorkActualSecondJob","integer",31612
68,"p7050","integer",31565
69,"p7070","integer",15527
70,"p7090","integer",15495
71,"p7110","integer",30556
72,"p7120","integer",30556
73,"p7140s1","integer",28712
74,"p7140s2","integer",28712
75,"p7150","integer",28712
76,"p7160","integer",28712
77,"p7310","integer",30202
78,"p7350","integer",30390
79,"p7422","integer",30390
80,"p7422s1","integer",30390
81,"p7472","integer",23545
82,"p7472s1","integer",23545
83,"p7495","integer",4888
84,"p7500s1","integer",28315
85,"p7500s1a1","integer",4888
86,"p7500s2","integer",28315
87,"p7500s2a1","integer",4888
88,"p7500s3","integer",28315
89,"p7500s3a1","integer",4888
90,"p7505","integer",4888
91,"p7510s1","integer",24342
92,"p7510s1a1","integer",4888
93,"p7510s2","integer",24342
94,"p7510s2a1","integer",4888
95,"p7510s3","integer",24342
96,"p7510s3a1","integer",4888
97,"p7510s5","integer",24342
98,"p7510s5a1","integer",4888
99,"p7510s6","integer",24342
100,"p7510s6a1","integer",4888
101,"p7510s7","integer",24342
102,"p7510s7a1","integer",4888
103,"pet","integer",4888
104,"ina","integer",23545
105,"impa","numeric",15767
106,"isa","integer",15527
107,"ie","integer",21549
108,"imdi","integer",31752
109,"iof1","numeric",4888
110,"iof2","integer",4888
111,"iof3h","numeric",4888
112,"iof3i","numeric",4888
113,"iof6","integer",4888
114,"cclasnr2","integer",30718
115,"cclasnr3","integer",32111
116,"cclasnr4","integer",31903
117,"cclasnr5","integer",32141
118,"cclasnr6","integer",31924
119,"cclasnr7","integer",31891
120,"cclasnr8","integer",31844
121,"cclasnr11","integer",31998
122,"impaes","integer",30694
123,"isaes","integer",32111
124,"iees","integer",31901
125,"imdies","integer",32141
126,"iof1es","integer",31923
127,"iof2es","integer",31890
128,"iof3hes","integer",31851
129,"iof3ies","integer",32145
130,"iof6es","integer",31998
131,"ingtotob","numeric",4888
132,"ingtotes","integer",29497
133,"ingtot","numeric",4888
134,"fex_c","numeric",0
135,"depto","integer",0
136,"fex_dpto","numeric",0
137,"fweight","integer",0
138,"maxEducLevel","integer",3569
139,"college","integer",0
140,"regSalud","integer",7507
141,"cotPension","integer",15514
142,"wap","integer",0
143,"ocu","integer",0
144,"dsi","integer",0
145,"pea","integer",0
146,"inac","integer",0
147,"totalHoursWorked","integer",15495
148,"formal","integer",15495
149,"informal","integer",15495
150,"cuentaPropia","integer",0
151,"microEmpresa","integer",15495
152,"sizeFirm","integer",15495
153,"y_salary_m","integer",22213
154,"y_salary_m_hu","numeric",22213
155,"y_ingLab_m","numeric",22213
156,"y_horasExtras_m","integer",31282
157,"y_especie_m","integer",30850
158,"y_vivienda_m","integer",32073
159,"y_otros_m","integer",32046
160,"y_auxilioAliment_m","integer",31770
161,"y_auxilioTransp_m","integer",26706
162,"y_subFamiliar_m","integer",29876
163,"y_subEducativo_m","integer",32139
164,"y_primas_m","integer",32082
165,"y_bonificaciones_m","integer",31811
166,"y_primaServicios_m","integer",24970
167,"y_primaNavidad_m","integer",31572
168,"y_primaVacaciones_m","integer",31598
169,"y_viaticos_m","integer",31778
170,"y_accidentes_m","integer",32142
171,"y_salarySec_m","integer",31716
172,"y_ingLab_m_ha","numeric",22213
173,"y_gananciaNeta_m","numeric",27273
174,"y_gananciaNetaAgro_m","integer",32177
175,"y_gananciaIndep_m","numeric",27273
176,"y_gananciaIndep_m_hu","numeric",27273
177,"y_total_m","numeric",17309
178,"y_total_m_ha","numeric",17309
179,"chunk","integer",0
180,"url_origen","character",0
181,"muestra_ps3","character",0
