"chunk","n_total","n_ocupados","n_ocupados_18","n_ocupados_18_con_y","meses","muestra_ps3"
1,3217,1565,1551,1342,"1/2","entrenamiento"
2,3218,1665,1648,1456,"2/3","entrenamiento"
3,3218,1648,1636,1416,"3/4","entrenamiento"
4,3218,1693,1676,1498,"4/5","entrenamiento"
5,3218,1661,1642,1489,"5/6","entrenamiento"
6,3218,1725,1716,1533,"6/7/8","entrenamiento"
7,3218,1690,1678,1529,"8/9","entrenamiento"
8,3218,1706,1694,1532,"9/10","validacion"
9,3217,1652,1644,1455,"10/11","validacion"
10,3217,1677,1657,1514,"11/12","validacion"
