"variable","tipo_R","n_na_real","n_na_texto","n_blancos","n_con_espacios","n_presentes","n_no_numericos","n_notacion_cientifica","n_con_decimales","n_valores_unicos","minimo","maximo","ejemplo_no_numerico","ejemplo_cientifica"
"directorio","character",0,0,0,0,32177,0,0,0,10403,4514331,4804455,"",""
"secuencia_p","character",0,0,0,0,32177,0,0,0,4,1,4,"",""
"orden","character",0,0,0,0,32177,0,0,0,14,1,14,"",""
"clase","character",0,0,0,0,32177,0,0,0,1,1,1,"",""
"dominio","character",0,0,0,0,32177,32177,0,0,1,NA,NA,"BOGOTA",""
"mes","character",0,0,0,0,32177,0,0,0,12,1,12,"",""
"estrato1","character",0,0,0,0,32177,0,0,0,6,1,6,"",""
"sex","character",0,0,0,0,32177,0,0,0,2,0,1,"",""
"age","character",0,0,0,0,32177,0,0,0,102,0,106,"",""
"p6050","character",0,0,0,0,32177,0,0,0,9,1,9,"",""
"p6090","character",0,4888,0,0,27289,0,0,0,3,1,9,"",""
"p6100","character",0,7478,0,0,24699,0,0,0,4,1,9,"",""
"p6210","character",0,1111,0,0,31066,0,0,0,7,1,9,"",""
"p6210s1","character",0,4888,0,0,27289,0,0,0,17,0,99,"",""
"p6240","character",0,4888,0,0,27289,0,0,0,6,1,6,"",""
"oficio","character",0,15495,0,0,16682,0,0,0,80,1,99,"",""
"p6426","character",0,15495,0,0,16682,0,0,0,263,0,720,"",""
"relab","character",0,15495,0,0,16682,0,0,0,9,1,9,"",""
"p6500","character",0,21549,0,0,10628,0,3098,0,661,0,3.4e+07,"","7e+05"
"p6510","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6510s1","character",0,21559,0,0,10618,0,212,0,91,0,2e+06,"","4e+05"
"p6510s2","character",0,31282,0,0,895,0,0,0,2,1,2,"",""
"p6545","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6545s1","character",0,21561,0,0,10616,0,18,0,43,0,3500000,"","8e+05"
"p6545s2","character",0,32082,0,0,95,0,0,0,2,1,2,"",""
"p6580","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6580s1","character",0,21553,0,0,10624,0,131,0,78,0,47200000,"","5e+05"
"p6580s2","character",0,31811,0,0,366,0,0,0,2,1,2,"",""
"p6585s1","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6585s1a1","character",0,21555,0,0,10622,0,82,0,82,0,1428000,"","2e+05"
"p6585s1a2","character",0,31770,0,0,407,0,0,0,2,1,2,"",""
"p6585s2","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6585s2a1","character",0,21603,0,0,10574,0,56,0,117,0,3e+06,"","1e+05"
"p6585s2a2","character",0,26706,0,0,5471,0,0,0,2,1,2,"",""
"p6585s3","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6585s3a1","character",0,21565,0,0,10612,0,14,0,139,0,940000,"","2e+05"
"p6585s3a2","character",0,29876,0,0,2301,0,0,0,2,1,2,"",""
"p6585s4","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6585s4a1","character",0,21549,0,0,10628,0,13,0,26,0,2700000,"","2e+05"
"p6585s4a2","character",0,32139,0,0,38,0,0,0,2,1,2,"",""
"p6590","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6590s1","character",0,21549,0,0,10628,0,378,0,125,0,1e+06,"","3e+05"
"p6600","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6600s1","character",0,21549,0,0,10628,0,57,0,20,0,6e+06,"","8e+05"
"p6610","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6610s1","character",0,21549,0,0,10628,0,83,0,62,0,3e+06,"","2e+05"
"p6620","character",0,21549,0,0,10628,0,0,0,3,1,9,"",""
"p6620s1","character",0,21549,0,0,10628,0,48,0,47,0,4500000,"","5e+05"
"p6630s1","character",0,21549,0,0,10628,0,0,0,2,1,2,"",""
"p6630s1a1","character",0,21549,0,0,10628,0,1990,0,400,0,5.6e+07,"","9e+05"
"p6630s2","character",0,21549,0,0,10628,0,0,0,2,1,2,"",""
"p6630s2a1","character",0,21549,0,0,10628,0,136,0,98,0,36500000,"","8e+05"
"p6630s3","character",0,21549,0,0,10628,0,0,0,2,1,2,"",""
"p6630s3a1","character",0,21549,0,0,10628,0,141,0,78,0,7.7e+07,"","1e+06"
"p6630s4","character",0,21549,0,0,10628,0,0,0,2,1,2,"",""
"p6630s4a1","character",0,21549,0,0,10628,0,177,0,89,0,1.3e+08,"","6e+05"
"p6630s6","character",0,21549,0,0,10628,0,0,0,2,1,2,"",""
"p6630s6a1","character",0,21549,0,0,10628,0,6,0,19,0,3125000,"","7e+05"
"p6750","character",0,27273,0,0,4904,0,3087,0,234,84,7e+07,"","1e+06"
"p6760","character",0,26395,0,0,5782,0,0,0,5,1,12,"",""
"p550","character",0,32177,0,0,0,0,0,0,0,NA,NA,"",""
"hoursWorkUsual","character",0,15495,0,0,16682,0,0,0,107,1,130,"",""
"p6870","character",0,15495,0,0,16682,0,0,0,9,1,9,"",""
"p6920","character",0,15514,0,0,16663,0,0,0,3,1,3,"",""
"p7040","character",0,15495,0,0,16682,0,0,0,2,1,2,"",""
"hoursWorkActualSecondJob","character",0,31612,0,0,565,0,0,0,33,1,50,"",""
"p7050","character",0,31565,0,0,612,0,0,0,9,1,9,"",""
"p7070","character",0,15527,0,0,16650,0,240,0,90,0,1e+07,"","6e+05"
"p7090","character",0,15495,0,0,16682,0,0,0,2,1,2,"",""
"p7110","character",0,30556,0,0,1621,0,0,0,2,1,2,"",""
"p7120","character",0,30556,0,0,1621,0,0,0,2,1,2,"",""
"p7140s1","character",0,28712,0,0,3465,0,0,0,2,1,2,"",""
"p7140s2","character",0,28712,0,0,3465,0,0,0,2,1,2,"",""
"p7150","character",0,28712,0,0,3465,0,0,0,2,1,2,"",""
"p7160","character",0,28712,0,0,3465,0,0,0,3,1,9,"",""
"p7310","character",0,30202,0,0,1975,0,0,0,2,1,2,"",""
"p7350","character",0,30390,0,0,1787,0,0,0,9,1,9,"",""
"p7422","character",0,30390,0,0,1787,0,0,0,2,1,2,"",""
"p7422s1","character",0,30390,0,0,1787,0,128,0,93,0,1.4e+07,"","6e+05"
"p7472","character",0,23545,0,0,8632,0,0,0,2,1,2,"",""
"p7472s1","character",0,23545,0,0,8632,0,60,0,52,0,5e+06,"","1e+06"
"p7495","character",0,4888,0,0,27289,0,0,0,2,1,2,"",""
"p7500s1","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s1a1","character",0,4888,0,0,27289,0,1089,0,138,0,2e+07,"","5e+05"
"p7500s2","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s2a1","character",0,4888,0,0,27289,0,381,0,267,0,8e+07,"","1e+06"
"p7500s3","character",0,28315,0,0,3862,0,0,0,3,1,9,"",""
"p7500s3a1","character",0,4888,0,0,27289,0,190,0,66,0,7200000,"","1e+05"
"p7505","character",0,4888,0,0,27289,0,0,0,2,1,2,"",""
"p7510s1","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s1a1","character",0,4888,0,0,27289,0,545,0,147,0,1.2e+08,"","4e+05"
"p7510s2","character",0,24342,0,0,7835,0,0,0,3,1,9,"",""
"p7510s2a1","character",0,4888,0,0,27289,0,83,0,49,0,9.6e+07,"","2e+06"
