variable,tipo,no_nulos_entrenamiento,porcentaje_no_nulos,decision,motivo
fila_en_bloque,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
directorio,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
secuencia_p,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
orden,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
clase,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
dominio,object,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
mes,int64,10263,100.0,Excluir,"Identificador, localización constante o partición temporal; no aprendizaje por llave o mes"
estrato1,int64,10263,100.0,Representada,Se usa estrato_f
sex,int64,10263,100.0,Representada,Se usa female
age,int64,10263,100.0,Candidata,Disponible en el conjunto de especificaciones; ver columnas_modelos.csv
p6050,int64,10263,100.0,Representada,Se usa parentesco_f y jefe_hogar
p6090,float64,10263,100.0,No incorporada,Pregunta adicional o con saltos de cuestionario; fuera del conjunto común de características laborales codificadas; no se imputa sin modelo de medición
p6100,float64,9385,91.44499658969112,Representada,Se usa regSalud_f
p6210,float64,10263,100.0,Representada,Se usa educ_f
p6210s1,float64,10263,100.0,Representada,Se usa anios_educ
p6240,float64,10263,100.0,Excluir,Define población elegible o no tiene variación útil en entrenamiento
oficio,float64,10263,100.0,Representada,Se usa oficio_f
p6426,float64,10263,100.0,Representada,Se usa antiguedad_anios
relab,float64,10263,100.0,Representada,Se usa relab_f
p6500,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6510,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6510s1,float64,6931,67.53385949527429,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6510s2,float64,580,5.651368995420443,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6545,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6545s1,float64,6930,67.52411575562701,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6545s2,float64,63,0.6138555977784274,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6580,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6580s1,float64,6933,67.55334697456884,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6580s2,float64,213,2.0754165448699213,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s1,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s1a1,float64,6931,67.53385949527429,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s1a2,float64,288,2.8061970184156677,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s2,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s2a1,float64,6914,67.36821592127058,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s2a2,float64,3696,36.01286173633441,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s3,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s3a1,float64,6929,67.51437201597973,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s3a2,float64,1526,14.868946701744129,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s4,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s4a1,float64,6935,67.5728344538634,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
p6585s4a2,float64,25,0.24359349118191562,Excluir,Montos o preguntas del reporte de remuneraciones/otros ingresos; se evita usar información tributaria cercana al resultado
