modelo,columna,variables
M0,(Intercepto),
M1,(Intercepto),
M1,age,age
M1,age^2,age
M2,(Intercepto),
M2,age,age
M2,age^2,age
M2,totalHoursWorked,totalHoursWorked
M2,relab_f[Empleado del gobierno],relab_f
M2,relab_f[Empleado domestico],relab_f
M2,relab_f[Obrero/empleado particular],relab_f
M2,relab_f[Otro],relab_f
M2,relab_f[Patron/empleador],relab_f
M3,(Intercepto),
M3,female,female
M4,(Intercepto),
M4,female,female
M4,age,age
M4,age^2,age
M4,educ_f[Primaria completa],educ_f
M4,educ_f[Primaria incompleta],educ_f
M4,educ_f[Secundaria completa],educ_f
M4,educ_f[Secundaria incompleta],educ_f
M4,educ_f[Terciaria],educ_f
M4,totalHoursWorked,totalHoursWorked
M4,totalHoursWorked^2,totalHoursWorked
M4,relab_f[Empleado del gobierno],relab_f
M4,relab_f[Empleado domestico],relab_f
M4,relab_f[Obrero/empleado particular],relab_f
M4,relab_f[Otro],relab_f
M4,relab_f[Patron/empleador],relab_f
M4,formal,formal
M4,sizeFirm_f[2-5 trabajadores],sizeFirm_f
M4,sizeFirm_f[6-10 trabajadores],sizeFirm_f
M4,sizeFirm_f[Independiente],sizeFirm_f
M4,sizeFirm_f[Mas de 50 trabajadores],sizeFirm_f
M4,oficio_grupo[Agropecuarios],oficio_grupo
M4,oficio_grupo[Comerciantes y vendedores],oficio_grupo
M4,oficio_grupo[Directivos],oficio_grupo
M4,oficio_grupo[Operarios y transporte],oficio_grupo
M4,oficio_grupo[Profesionales y tecnicos],oficio_grupo
M4,oficio_grupo[Servicios],oficio_grupo
M4i,(Intercepto),
M4i,female,female
M4i,age,age
M4i,age^2,age
M4i,educ_f[Primaria completa],educ_f
M4i,educ_f[Primaria incompleta],educ_f
M4i,educ_f[Secundaria completa],educ_f
M4i,educ_f[Secundaria incompleta],educ_f
M4i,educ_f[Terciaria],educ_f
M4i,totalHoursWorked,totalHoursWorked
M4i,totalHoursWorked^2,totalHoursWorked
M4i,relab_f[Empleado del gobierno],relab_f
M4i,relab_f[Empleado domestico],relab_f
M4i,relab_f[Obrero/empleado particular],relab_f
M4i,relab_f[Otro],relab_f
M4i,relab_f[Patron/empleador],relab_f
M4i,formal,formal
M4i,sizeFirm_f[2-5 trabajadores],sizeFirm_f
M4i,sizeFirm_f[6-10 trabajadores],sizeFirm_f
M4i,sizeFirm_f[Independiente],sizeFirm_f
M4i,sizeFirm_f[Mas de 50 trabajadores],sizeFirm_f
M4i,oficio_grupo[Agropecuarios],oficio_grupo
M4i,oficio_grupo[Comerciantes y vendedores],oficio_grupo
M4i,oficio_grupo[Directivos],oficio_grupo
M4i,oficio_grupo[Operarios y transporte],oficio_grupo
M4i,oficio_grupo[Profesionales y tecnicos],oficio_grupo
M4i,oficio_grupo[Servicios],oficio_grupo
M4i,female:age,age|female
M4i,female:age^2,age|female
M5,(Intercepto),
M5,female,female
M5,age,age
M5,age^2,age
M5,educ_f[Primaria completa],educ_f
M5,educ_f[Primaria incompleta],educ_f
M5,educ_f[Secundaria completa],educ_f
M5,educ_f[Secundaria incompleta],educ_f
M5,educ_f[Terciaria],educ_f
M5,totalHoursWorked,totalHoursWorked
M5,totalHoursWorked^2,totalHoursWorked
M5,relab_f[Empleado del gobierno],relab_f
M5,relab_f[Empleado domestico],relab_f
M5,relab_f[Obrero/empleado particular],relab_f
M5,relab_f[Otro],relab_f
M5,relab_f[Patron/empleador],relab_f
M5,formal,formal
M5,sizeFirm_f[2-5 trabajadores],sizeFirm_f
M5,sizeFirm_f[6-10 trabajadores],sizeFirm_f
M5,sizeFirm_f[Independiente],sizeFirm_f
M5,sizeFirm_f[Mas de 50 trabajadores],sizeFirm_f
M5,oficio_grupo[Agropecuarios],oficio_grupo
M5,oficio_grupo[Comerciantes y vendedores],oficio_grupo
M5,oficio_grupo[Directivos],oficio_grupo
M5,oficio_grupo[Operarios y transporte],oficio_grupo
M5,oficio_grupo[Profesionales y tecnicos],oficio_grupo
M5,oficio_grupo[Servicios],oficio_grupo
M5,estrato_f[2],estrato_f
M5,estrato_f[3],estrato_f
M5,estrato_f[4],estrato_f
M5,estrato_f[5],estrato_f
M5,estrato_f[6],estrato_f
M5,jefe_hogar,jefe_hogar
M5,antiguedad_anios,antiguedad_anios
M5,antiguedad_anios^2,antiguedad_anios
M5,segundo_empleo,segundo_empleo
M6,(Intercepto),
M6,female,female
M6,age,age
M6,age^2,age
M6,age^3,age
M6,educ_f[Primaria completa],educ_f
M6,educ_f[Primaria incompleta],educ_f
M6,educ_f[Secundaria completa],educ_f
M6,educ_f[Secundaria incompleta],educ_f
M6,educ_f[Terciaria],educ_f
M6,totalHoursWorked,totalHoursWorked
M6,totalHoursWorked^2,totalHoursWorked
M6,totalHoursWorked^3,totalHoursWorked
M6,relab_f[Empleado del gobierno],relab_f
M6,relab_f[Empleado domestico],relab_f
M6,relab_f[Obrero/empleado particular],relab_f
M6,relab_f[Otro],relab_f
M6,relab_f[Patron/empleador],relab_f
M6,formal,formal
M6,sizeFirm_f[2-5 trabajadores],sizeFirm_f
