modelo,especificacion,familia,ponderado_ajuste,columnas,gl,lambda_ridge,RMSE_entrenamiento,RMSE_LOOCV,RMSE_validacion,RMSE_validacion_fex_c,seleccionado,n_entrenamiento,n_validacion,personas_ajuste_fex_c,personas_validacion_fex_c
M0,Media de entrenamiento,MCO,False,1,0.9999999999999556,0.0,0.8881256562604325,0.8882122013448469,0.9151233784840672,0.9164107235699952,False,10263,4500,,1186728.9803680193
M1,Edad y edad²,MCO,False,3,2.999999999999953,0.0,0.865666559036461,0.8660059070635628,0.8919118253859781,0.8922281616914097,False,10263,4500,,1186728.9803680193
M2,"Edad, horas y vínculo",MCO,False,9,8.99999999999996,0.0,0.7781678798325019,0.7789618543683383,0.8117573536964614,0.8149001095657653,False,10263,4500,,1186728.9803680193
M3,Brecha sin controles,MCO,False,2,1.9999999999999944,0.0,0.8804997184028066,0.8806731720023658,0.9066048257818742,0.907972582387343,False,10263,4500,,1186728.9803680193
M4,Controles S5 aditivos,MCO,False,27,26.99999999999998,0.0,0.5909665478327523,0.5927697227847317,0.6229518743974816,0.6222642975568939,False,10263,4500,,1186728.9803680193
M4i,S5 con perfiles por sexo,MCO,False,29,28.999999999999996,0.0,0.5903544880671074,0.5923137885604647,0.6225653926401565,0.6218480221470565,False,10263,4500,,1186728.9803680193
M5,Recursos y antigüedad cuadrática,MCO,False,36,35.999999999999986,0.0,0.5444921684890298,0.5469035874820526,0.5738186221940934,0.5703483614646231,False,10263,4500,,1186728.9803680193
M6,Polinomios cúbicos,MCO,False,39,38.99999999999999,0.0,0.5385858305720437,0.5412248238982836,0.5684407915596207,0.5639015711965045,False,10263,4500,,1186728.9803680193
M7,Polinomios de grado cuatro,MCO,False,42,42.0,0.0,0.5377416349384998,0.5405442825132759,0.5679288702907096,0.5633047104002271,False,10263,4500,,1186728.9803680193
M8,Bases cúbicas por tramos,MCO,False,50,50.0,0.0,0.5365526909343424,0.5398052618238325,0.567398830400048,0.5624067602235204,False,10263,4500,,1186728.9803680193
M9,Interacciones y ocupación detallada,MCO,False,165,163.0000000000002,0.0,0.5133112562063965,,0.5541327828365731,0.5486733997268481,False,10263,4500,,1186728.9803680193
R1,Ridge sobre polinomios de grado cuatro,Ridge,False,42,41.80353085431644,3.1622776601683795,0.5377502571400193,0.540537970481542,0.5679065577845912,0.5632920342832874,False,10263,4500,,1186728.9803680193
R2,Ridge sobre interacciones y oficio,Ridge,False,165,145.11672606861674,31.622776601683796,0.513898183237259,0.5224562559516758,0.5522629160857567,0.54686340421907,False,10263,4500,,1186728.9803680193
R3,Ridge con interacciones ampliadas,Ridge,False,321,261.4541250084018,56.23413251903491,0.4990529577291731,0.5158770277713176,0.5461158218020381,0.5416282310024888,False,10263,4500,,1186728.9803680193
R4,Ridge con escolaridad y jornadas,Ridge,False,347,271.4558308762812,100.0,0.4883597057288246,0.5055588021558786,0.5388765158890568,0.5347782835311444,False,10263,4500,,1186728.9803680193
M1w,Edad y edad² (fex_c),MCO,True,3,3.0,0.0,0.865699216461285,0.866038789544113,0.8918958594555084,0.8921758600993834,False,10263,4500,2499676.7619239194,1186728.9803680193
M2w,"Edad, horas y vínculo (fex_c)",MCO,True,9,9.0,0.0,0.7782094835125181,0.7790018302299339,0.8116259762860963,0.8146887168461937,False,10263,4500,2499676.7619239194,1186728.9803680193
M3w,Brecha sin controles (fex_c),MCO,True,2,2.0,0.0,0.8805030378979423,0.8806753791638321,0.9066154405632252,0.9079938819921404,False,10263,4500,2499676.7619239194,1186728.9803680193
M4w,Controles S5 aditivos (fex_c),MCO,True,27,27.0,0.0,0.5910200575464973,0.5928219087405783,0.6231476445682878,0.6224577063901076,False,10263,4500,2499676.7619239194,1186728.9803680193
M4iw,S5 con perfiles por sexo (fex_c),MCO,True,29,29.0,0.0,0.5904104797530219,0.5923652485945202,0.6227318768852104,0.6220070109055358,False,10263,4500,2499676.7619239194,1186728.9803680193
R5,"Ridge, selección adelante",Ridge,False,337,263.89594211380614,100.0,0.488705855955082,0.5054004581701897,0.5384540808419546,0.5342007486058816,False,10263,4500,,1186728.9803680193
R6,"Ridge, selección atras",Ridge,False,338,263.9065943569959,100.0,0.4887055209762278,0.505400431418919,0.5384437939188244,0.5341913679289669,True,10263,4500,,1186728.9803680193
R7,"Ridge, selección mixto",Ridge,False,337,263.89594211380614,100.0,0.488705855955082,0.5054004581701897,0.5384540808419546,0.5342007486058816,False,10263,4500,,1186728.9803680193
M10,"MCO, grupos elegidos hacia adelante",MCO,False,337,316.0000000000005,0.0,0.4867453253593514,,0.5431754592824509,0.53950529486734,False,10263,4500,,1186728.9803680193
