variable,tipo,no_nulos,porcentaje_no_nulos,valores_distintos
fila_en_bloque,int64,32177,100.0,3218
directorio,int64,32177,100.0,10403
secuencia_p,int64,32177,100.0,4
orden,int64,32177,100.0,14
clase,int64,32177,100.0,1
dominio,object,32177,100.0,1
mes,int64,32177,100.0,12
estrato1,int64,32177,100.0,6
sex,int64,32177,100.0,2
age,int64,32177,100.0,102
p6050,int64,32177,100.0,9
p6090,float64,27289,84.8090250800261,3
p6100,float64,24699,76.75979737079281,4
p6210,float64,31066,96.54722317183081,7
p6210s1,float64,27289,84.8090250800261,17
p6240,float64,27289,84.8090250800261,6
oficio,float64,16682,51.844485191285706,80
p6426,float64,16682,51.844485191285706,263
relab,float64,16682,51.844485191285706,9
p6500,float64,10628,33.02980389719365,661
p6510,float64,10628,33.02980389719365,3
p6510s1,float64,10618,32.9987257979302,91
p6510s2,float64,895,2.7814898840786895,2
p6545,float64,10628,33.02980389719365,3
p6545s1,float64,10616,32.99251017807751,43
p6545s2,float64,95,0.29524194300276596,2
p6580,float64,10628,33.02980389719365,3
p6580s1,float64,10624,33.017372657488266,78
p6580s2,float64,366,1.137458433042235,2
p6585s1,float64,10628,33.02980389719365,3
p6585s1a1,float64,10622,33.01115703763558,82
p6585s1a2,float64,407,1.2648786400223762,2
p6585s2,float64,10628,33.02980389719365,3
p6585s2a1,float64,10574,32.86198216117102,117
p6585s2a2,float64,5471,17.002828107032975,2
p6585s3,float64,10628,33.02980389719365,3
p6585s3a1,float64,10612,32.98007893837213,139
p6585s3a2,float64,2301,7.151070640519626,2
p6585s4,float64,10628,33.02980389719365,3
p6585s4a1,float64,10628,33.02980389719365,26
p6585s4a2,float64,38,0.11809677720110638,2
p6590,float64,10628,33.02980389719365,3
p6590s1,float64,10628,33.02980389719365,125
p6600,float64,10628,33.02980389719365,3
p6600s1,float64,10628,33.02980389719365,20
p6610,float64,10628,33.02980389719365,3
p6610s1,float64,10628,33.02980389719365,62
p6620,float64,10628,33.02980389719365,3
p6620s1,float64,10628,33.02980389719365,47
p6630s1,float64,10628,33.02980389719365,2
p6630s1a1,float64,10628,33.02980389719365,400
p6630s2,float64,10628,33.02980389719365,2
p6630s2a1,float64,10628,33.02980389719365,98
p6630s3,float64,10628,33.02980389719365,2
p6630s3a1,float64,10628,33.02980389719365,78
p6630s4,float64,10628,33.02980389719365,2
p6630s4a1,float64,10628,33.02980389719365,89
p6630s6,float64,10628,33.02980389719365,2
p6630s6a1,float64,10628,33.02980389719365,19
p6750,float64,4904,15.240699878795413,234
p6760,float64,5782,17.96935699412624,5
p550,float64,0,0.0,0
hoursWorkUsual,float64,16682,51.844485191285706,107
p6870,float64,16682,51.844485191285706,9
p6920,float64,16663,51.78543680268515,3
p7040,float64,16682,51.844485191285706,2
hoursWorkActualSecondJob,float64,565,1.755912608384871,33
p7050,float64,612,1.9019796749230817,9
p7070,float64,16650,51.74503527364266,90
p7090,float64,16682,51.844485191285706,2
p7110,float64,1621,5.03775989060509,2
p7120,float64,1621,5.03775989060509,2
p7140s1,float64,3465,10.768561394785095,2
