variable,tipo,no_nulos,porcentaje_no_nulos,valores_distintos
id_persona,object,14764,100.0,14764
directorio,int64,14764,100.0,8689
secuencia_p,int64,14764,100.0,4
orden,int64,14764,100.0,12
chunk,int64,14764,100.0,10
muestra_ps3,object,14764,100.0,2
entrenamiento,bool,14764,100.0,2
mes,int64,14764,100.0,12
mes_f,category,14764,100.0,12
fex_c,float64,14764,100.0,3320
y_total_m,float64,14764,100.0,3767
log_y,float64,14764,100.0,3767
y_total_m_ha,float64,14764,100.0,5431
y_ingLab_m,float64,9892,67.00081278786236,3695
y_gananciaIndep_m,float64,4872,32.999187212137635,237
y_salary_m,float64,9892,67.00081278786236,658
impa,float64,14764,100.0,3704
impaes,float64,20,0.135464643727987,18
dane_faltante,float64,0,0.0,0
age,int64,14764,100.0,71
sex,int64,14764,100.0,2
female,int64,14764,100.0,2
jefe_hogar,int64,14764,100.0,2
p6050,int64,14764,100.0,9
parentesco_f,category,14764,100.0,9
estrato1,int64,14764,100.0,6
estrato_f,category,14764,100.0,6
maxEducLevel,float64,14763,99.99322676781361,6
educ_f,category,14763,99.99322676781361,6
terciaria,float64,14763,99.99322676781361,2
anios_educ,float64,14763,99.99322676781361,27
p6210,float64,14764,100.0,6
p6210s1,float64,14764,100.0,17
relab,float64,14764,100.0,7
relab_f,category,14764,100.0,6
oficio,float64,14764,100.0,79
oficio_f,category,14764,100.0,57
oficio_grupo,category,14764,100.0,7
sizeFirm,float64,14764,100.0,5
sizeFirm_f,category,14764,100.0,5
microEmpresa,float64,14764,100.0,2
cuentaPropia,int64,14764,100.0,2
formal,float64,14764,100.0,2
cotPension,float64,14764,100.0,3
cotiza_pension,int64,14764,100.0,2
regSalud,float64,13520,91.5740991601192,3
regSalud_f,category,14764,100.0,4
p6426,float64,14764,100.0,257
antiguedad_anios,float64,14764,100.0,257
totalHoursWorked,float64,14764,100.0,110
hoursWorkUsual,float64,14764,100.0,105
horas_segundo_empleo,float64,14764,100.0,33
segundo_empleo,int64,14764,100.0,2
quiere_mas_horas,int64,14764,100.0,2
alerta_ingreso_bajo,bool,14764,100.0,2
alerta_ingreso_alto,bool,14764,100.0,2
alerta_horas_altas,bool,14764,100.0,2
alerta_dane_extremo,bool,14764,100.0,2
alerta_extremo,bool,14764,100.0,2
