variable,media,desv_est,minimo,p25,mediana,p75,maximo,moda
fila_en_bloque,1609.3500326320043,928.8844263373114,1.0,805.0,1609.0,2414.0,3218.0,1
directorio,4655586.721664543,82562.83739063249,4514331.0,4584531.0,4655207.0,4728957.0,4804455.0,4753125
secuencia_p,1.0127730987972776,0.12611391499264155,1.0,1.0,1.0,1.0,4.0,1
orden,2.411038940858377,1.4338297302788772,1.0,1.0,2.0,3.0,14.0,1
clase,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
dominio,,,,,,,,BOGOTA
mes,6.404605774310843,3.398596021515602,1.0,3.0,6.0,9.0,12.0,6
estrato1,2.5193771948907604,1.0046227115733304,1.0,2.0,2.0,3.0,6.0,2
sex,0.47906890014606707,0.4995694598442859,0.0,0.0,0.0,1.0,1.0,0
age,34.39870093545079,20.880511854095133,0.0,18.0,32.0,50.0,106.0,23
p6050,2.5301612953351773,1.6542121324604733,1.0,1.0,2.0,3.0,9.0,3
p6090,1.1008098501227601,0.3712826156011364,1.0,1.0,1.0,1.0,9.0,1.0
p6100,1.4151989959107656,0.823552361948704,1.0,1.0,1.0,1.0,9.0,1.0
p6210,4.546642631816133,1.3243490342830395,1.0,3.0,5.0,6.0,9.0,6.0
p6210s1,6.538861812451904,3.5946240533221316,0.0,4.0,6.0,11.0,99.0,11.0
p6240,2.5048920810583017,1.812886670682425,1.0,1.0,1.0,4.0,6.0,1.0
oficio,49.8331135355473,28.034683730728254,1.0,33.0,45.0,70.0,99.0,45.0
p6426,63.30188226831315,89.25944134984003,0.0,7.0,24.0,80.0,720.0,24.0
relab,2.2729888502577626,1.5530660624546624,1.0,1.0,1.0,4.0,9.0,1.0
p6500,1451014.800338728,2108908.34361552,0.0,781242.0,850000.0,1400000.0,34000000.0,781242.0
p6510,1.9223748588633798,0.35256514180954684,1.0,2.0,2.0,2.0,9.0,2.0
p6510s1,8816.618195517047,57595.89777861579,0.0,0.0,0.0,0.0,2000000.0,0.0
p6510s2,1.7843575418994413,0.41149724650065383,1.0,2.0,2.0,2.0,2.0,2.0
p6545,1.9989649981181783,0.253513675530776,1.0,2.0,2.0,2.0,9.0,2.0
p6545s1,4080.5633006782214,86786.98931320767,0.0,0.0,0.0,0.0,3500000.0,0.0
p6545s2,1.7473684210526317,0.436826589397815,1.0,1.5,2.0,2.0,2.0,2.0
p6580,1.968197214904027,0.22775568196411486,1.0,2.0,2.0,2.0,9.0,2.0
p6580s1,18831.960843373494,505102.378866189,0.0,0.0,0.0,0.0,47200000.0,0.0
p6580s2,1.7759562841530054,0.4175217664756523,1.0,2.0,2.0,2.0,2.0,2.0
p6585s1,1.965656755739556,0.2545279639094093,1.0,2.0,2.0,2.0,9.0,2.0
p6585s1a1,4540.477311240821,39821.84535988374,0.0,0.0,0.0,0.0,1428000.0,0.0
p6585s1a2,1.7886977886977886,0.40873471055904675,1.0,2.0,2.0,2.0,2.0,2.0
p6585s2,1.5207941287165976,0.7308551767041772,1.0,1.0,1.0,2.0,9.0,1.0
p6585s2a1,35010.63504823151,60309.540722831494,0.0,0.0,0.0,88211.0,3000000.0,0.0
p6585s2a2,1.7691464083348565,0.4214174552788449,1.0,2.0,2.0,2.0,2.0,2.0
p6585s3,1.794034625517501,0.4978680241017305,1.0,2.0,2.0,2.0,9.0,2.0
p6585s3a1,9708.404165096117,28128.013725790923,0.0,0.0,0.0,0.0,940000.0,0.0
p6585s3a2,1.9882659713168187,0.10770971702472003,1.0,2.0,2.0,2.0,2.0,2.0
p6585s4,1.9977418140760257,0.11310389541552264,1.0,2.0,2.0,2.0,9.0,2.0
p6585s4a1,1417.2836846066994,43807.86433643353,0.0,0.0,0.0,0.0,2700000.0,0.0
p6585s4a2,1.9736842105263157,0.16222142113076254,1.0,2.0,2.0,2.0,2.0,2.0
p6590,1.8790929619872037,0.3713705774328059,1.0,2.0,2.0,2.0,9.0,2.0
p6590s1,20690.031050056456,74327.18466223916,0.0,0.0,0.0,0.0,1000000.0,0.0
p6600,1.9921904403462551,0.1534864440449853,1.0,2.0,2.0,2.0,9.0,2.0
p6600s1,3330.3537824614227,81887.92103106793,0.0,0.0,0.0,0.0,6000000.0,0.0
p6610,1.9735604064734664,0.20384246990699773,1.0,2.0,2.0,2.0,9.0,2.0
p6610s1,4689.990779074144,54504.33759217884,0.0,0.0,0.0,0.0,3000000.0,0.0
p6620,1.990308618742943,0.1751477854605062,1.0,2.0,2.0,2.0,9.0,2.0
p6620s1,3411.977794505081,59995.27474667271,0.0,0.0,0.0,0.0,4500000.0,0.0
p6630s1,1.3218855852465186,0.46722135540251875,1.0,1.0,1.0,2.0,2.0,1.0
p6630s1a1,757514.7302408732,1515631.761784066,0.0,0.0,380000.0,900000.0,56000000.0,0.0
p6630s2,1.943074896499812,0.23171035326976883,1.0,2.0,2.0,2.0,2.0,2.0
p6630s2a1,99307.50639819345,766685.8835682563,0.0,0.0,0.0,0.0,36500000.0,0.0
p6630s3,1.9455212645841173,0.22697059273509337,1.0,2.0,2.0,2.0,2.0,2.0
p6630s3a1,52227.145747083174,827872.8376207683,0.0,0.0,0.0,0.0,77000000.0,0.0
p6630s4,1.9624576590139255,0.19009553841200832,1.0,2.0,2.0,2.0,2.0,2.0
p6630s4a1,116261.7613850207,2081632.2159738506,0.0,0.0,0.0,0.0,130000000.0,0.0
p6630s6,1.996706812194204,0.05729442894475429,1.0,2.0,2.0,2.0,2.0,2.0
p6630s6a1,1472.4548362815206,48974.60636074404,0.0,0.0,0.0,0.0,3125000.0,0.0
p6750,1353902.3994698205,2464621.17083064,84.0,480000.0,800000.0,1500000.0,70000000.0,800000.0
p6760,1.0140089934278795,0.3752103190486068,1.0,1.0,1.0,1.0,12.0,1.0
p550,,,,,,,,
hoursWorkUsual,46.848579307037525,15.68417216429361,1.0,40.0,48.0,50.0,130.0,48.0
p6870,4.9119410142668745,3.3356273425843734,1.0,2.0,4.0,9.0,9.0,9.0
p6920,1.4585608833943469,0.5421351052378738,1.0,1.0,1.0,2.0,3.0,1.0
