oficio,n_entrenamiento,agrupado_en_otros
1,15,True
2,167,False
3,300,False
4,4,True
5,20,False
6,90,False
7,53,False
8,107,False
9,37,False
11,156,False
12,140,False
13,345,False
14,2,True
15,34,False
16,99,False
17,37,False
18,41,False
19,137,False
21,406,False
30,69,False
31,11,True
32,78,False
33,322,False
34,35,False
35,7,True
36,32,False
37,128,False
38,159,False
39,671,False
40,28,False
41,350,False
42,38,False
43,11,True
44,149,False
45,986,False
49,2,True
50,23,False
51,61,False
52,2,True
53,457,False
54,529,False
55,413,False
56,28,False
57,132,False
58,445,False
59,256,False
61,18,True
62,25,False
63,2,True
70,37,False
72,3,True
73,1,True
74,10,True
75,24,False
76,2,True
77,126,False
79,310,False
80,73,False
81,73,False
82,1,True
83,81,False
84,159,False
85,119,False
86,2,True
87,116,False
88,4,True
89,11,True
90,40,False
91,8,True
92,30,False
93,72,False
94,19,True
95,368,False
96,2,True
97,305,False
98,535,False
99,75,False
