variable,tipo,filas,no_nulos,porcentaje_no_nulos,valores_distintos,media,desv_est,minimo,p25,mediana,p75,maximo,moda
fila_en_bloque,int64,32177,32177,100.0,3218,1609.3500326320043,928.8844263373114,1.0,805.0,1609.0,2414.0,3218.0,1
directorio,int64,32177,32177,100.0,10403,4655586.721664543,82562.83739063249,4514331.0,4584531.0,4655207.0,4728957.0,4804455.0,4753125
secuencia_p,int64,32177,32177,100.0,4,1.0127730987972776,0.12611391499264155,1.0,1.0,1.0,1.0,4.0,1
orden,int64,32177,32177,100.0,14,2.411038940858377,1.4338297302788772,1.0,1.0,2.0,3.0,14.0,1
clase,int64,32177,32177,100.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
dominio,object,32177,32177,100.0,1,,,,,,,,BOGOTA
mes,int64,32177,32177,100.0,12,6.404605774310843,3.398596021515602,1.0,3.0,6.0,9.0,12.0,6
estrato1,int64,32177,32177,100.0,6,2.5193771948907604,1.0046227115733304,1.0,2.0,2.0,3.0,6.0,2
sex,int64,32177,32177,100.0,2,0.47906890014606707,0.4995694598442859,0.0,0.0,0.0,1.0,1.0,0
age,int64,32177,32177,100.0,102,34.39870093545079,20.880511854095133,0.0,18.0,32.0,50.0,106.0,23
p6050,int64,32177,32177,100.0,9,2.5301612953351773,1.6542121324604733,1.0,1.0,2.0,3.0,9.0,3
p6090,float64,32177,27289,84.8090250800261,3,1.1008098501227601,0.3712826156011364,1.0,1.0,1.0,1.0,9.0,1.0
p6100,float64,32177,24699,76.75979737079281,4,1.4151989959107656,0.823552361948704,1.0,1.0,1.0,1.0,9.0,1.0
p6210,float64,32177,31066,96.54722317183081,7,4.546642631816133,1.3243490342830395,1.0,3.0,5.0,6.0,9.0,6.0
p6210s1,float64,32177,27289,84.8090250800261,17,6.538861812451904,3.5946240533221316,0.0,4.0,6.0,11.0,99.0,11.0
p6240,float64,32177,27289,84.8090250800261,6,2.5048920810583017,1.812886670682425,1.0,1.0,1.0,4.0,6.0,1.0
oficio,float64,32177,16682,51.844485191285706,80,49.8331135355473,28.034683730728254,1.0,33.0,45.0,70.0,99.0,45.0
p6426,float64,32177,16682,51.844485191285706,263,63.30188226831315,89.25944134984003,0.0,7.0,24.0,80.0,720.0,24.0
relab,float64,32177,16682,51.844485191285706,9,2.2729888502577626,1.5530660624546624,1.0,1.0,1.0,4.0,9.0,1.0
p6500,float64,32177,10628,33.02980389719365,661,1451014.800338728,2108908.34361552,0.0,781242.0,850000.0,1400000.0,34000000.0,781242.0
p6510,float64,32177,10628,33.02980389719365,3,1.9223748588633798,0.35256514180954684,1.0,2.0,2.0,2.0,9.0,2.0
p6510s1,float64,32177,10618,32.9987257979302,91,8816.618195517047,57595.89777861579,0.0,0.0,0.0,0.0,2000000.0,0.0
p6510s2,float64,32177,895,2.7814898840786895,2,1.7843575418994413,0.41149724650065383,1.0,2.0,2.0,2.0,2.0,2.0
p6545,float64,32177,10628,33.02980389719365,3,1.9989649981181783,0.253513675530776,1.0,2.0,2.0,2.0,9.0,2.0
p6545s1,float64,32177,10616,32.99251017807751,43,4080.5633006782214,86786.98931320767,0.0,0.0,0.0,0.0,3500000.0,0.0
p6545s2,float64,32177,95,0.29524194300276596,2,1.7473684210526317,0.436826589397815,1.0,1.5,2.0,2.0,2.0,2.0
