archivo,variable,etiqueta,tipo,formato,ancho,decimales,rango_min,rango_max,categorias,pregunta_literal,universo,instrucciones,url,notas
F256,P6020,Sexo,Discreta,Numérico,1,0,,,1=Hombre; 2=Mujer,2. Sexo,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y a todas las personas que forman parte del hogar.","Tener cuidado al registrar el sexo porque hay nombres que se usan para ambos sexos (ej. Concepción, Dolores); si hay duda, preguntar.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13373,
F256,P6040,"¿cuántos años cumplidos tiene...? (si es menor de 1 año, escriba 00)",Continua,Numérico,3,0,,,,"¿Cuántos años cumplidos tiene … ? Si es menor de 1 año, escriba 00","La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y a todas las personas que forman parte del hogar","Registrar la edad del último cumpleaños (no el que está por cumplir), siempre a dos dígitos. Solo se pregunta a quienes no declararon fecha de nacimiento. Menores de 1 año: 00. 99 años y más: 99.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13376,
F256,P6050,¿Cuál es el parentesco de ... con el jefe o jefa del hogar?,Discreta,Numérico,1,0,,,"1=Jefe (a) del hogar; 2=Pareja, esposo(a), cónyuge, compañero(a); 3=Hijo(a), hijastro(a); 4=Nieto(a); 5=Otro pariente; 6=Empleado(a) del servicio doméstico y sus parientes; 7=Pensionista; 8=Trabajador; 9=Otro no pariente",¿Cuál es el parentesco de ... con el jefe o jefa del hogar?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y a todas las personas que forman parte del hogar.","Registrar el parentesco en orden: jefe, cónyuge, hijos, nietos, otros parientes, servicio doméstico, pensionistas, trabajadores, no parientes. El jefe debe tener al menos 10 años y se define por consideración del hogar o por ser el principal aportante. Solo un cónyuge por hogar.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13377,
F256,P6090,"¿... Está afiliado, es cotizante o es beneficiario de alguna entidad de seguridad social en salud?",Discreta,Numérico,1,0,,,"1=Sí; 2=No; 9=No sabe, no informa","¿... está afiliado, es cotizante o es beneficiario de alguna entidad de seguridad social en salud? (Instituto de Seguros Sociales - ISS, Empresa Promotora de Salud - EPS o Administradora de Régimen Subsidiado - ARS)","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y a todas las personas que forman parte del hogar.","Determina si tiene garantizada la salud como cotizante o beneficiario. Si 1 (Sí) pase a P6100; si 9 (No sabe, no informa) pase a P6125; si 2 (No) continúe. Solicitar carné; si cotiza y es beneficiario, registrar cotizante; excluir personas solo vinculadas.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13385,
F256,P6100,¿A cuál de los siguientes regímenes de seguridad social en salud está afiliado?,Discreta,Numérico,1,0,,,"1=Contributivo (eps)?; 2=Especial ? (fuerzas armadas, ecopetrol, universidades públicas); 3=Subsidiado? (eps-s); 9=No sabe, no informa","¿A cuál de los siguientes regímenes de seguridad social en salud está afiliado: a. Contributivo (EPS)? b. Especial ? (Fuerzas Armadas, Ecopetrol, universidades públicas) c. Subsidiado? (EPS-S) d. No sabe, no informa","El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y a todas las personas que forman parte del hogar que hayan marcado la opción 1 (SI) en la pregunta 1(P6090) del capítulo F. SEGURIDAD SOCIAL EN SALUD.","Se responde solo si marcó 1 (Sí) en P6090 (cap. F). Si responde 3 (Subsidiado) ó 9 (No sabe, no informa) pase a la pregunta 7 (P6125). Permite conocer la cobertura de cada régimen.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13388,
F256,P6210,¿cuál es el nivel educativo más alto alcanzado por ... Y el último año o grado aprobado en este nivel?,Discreta,Numérico,1,0,,,"1=Ninguno; 2=Preescolar; 3=Básica primaria (1o - 5o); 4=Básica secundaria (6o - 9o); 5=Media (10o - 13o); 6=Superior o universitaria; 9=No sabe, no informa",¿Cuál es el nivel educativo más alto alcanzado por .... y el último año o grado aprobado en este nivel?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas personas de 3 años y más que hayan marcado la opción 2(No) en la pregunta 2(P6170) ó la pregunta 3(P6175).",Registrar nivel y último grado aprobado. Cero (0) si cursa el primer año del nivel o no aprobó ningún grado; el 0 solo se acepta si está estudiando. 9 = No informa. Educación superior en años completos. Educación especial: registrar equivalencia.,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13395,
F256,P6210S1,Grado,Continua,Numérico,2,0,,,,¿Cuál es el nivel educativo más alto alcanzado por .... y el último año o grado aprobado en este nivel?,"La población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 3 años y más.",,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13396,La página no muestra instrucciones del entrevistador.
F256,ESC,Escolaridad,Continua,Numérico,2,0,,,,Años de escolaridad,"La población civil no institucional, residente en todo el territorio nacional",,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13400,La página no muestra instrucciones del entrevistador.
F256,fex_c_2011,Factor de expansión,Discreta,Numérico,16,0,,,,Factor de expansión,,,https://microdatos.dane.gov.co/index.php/catalog/547/variable/F256/V13403,"La página muestra una tabla de ~1.018 categorías (valor=factor de expansión, p.ej. 3718=1299.82051287535 ... 2018=1094.67749630643) que no pudo extraerse completa (contenido truncado). Rango mostrado como '-'. Sin universo ni instrucciones."
F258,P6240,¿en que actividad ocupó ... La mayor parte del tiempo la semana pasada?,Discreta,Numérico,1,0,,,1=Trabajando; 2=Buscando trabajo; 3=Estudiando; 4=Oficios del hogar; 5=Incapacitado permanente para trabajar; 6=Otra actividad,¿En que actividad ocupó...... la mayor parte del tiempo la semana pasada?,"El universo para la Gran Encuesta Integrada de Hogares está conformado por la población civil no institucional, residente en todo el territorio nacional; va dirigida a todos los hogares encontrados en la vivienda y solamente para personas de 10 años y más.","Si 1 (Trabajando) siga al cap. I. OCUPADOS; si 2, 3, 4 ó 6 continúe con la siguiente pregunta; si 5 (Incapacitado) siga al cap. K. INACTIVOS. Si el informante duda, leer cada alternativa con '¿o alguna otra cosa?'; si hizo varias actividades, preguntar a cuál dedicó más tiempo.",https://microdatos.dane.gov.co/index.php/catalog/547/variable/F258/V13413,
