variable,variable_dane,fuente,etiqueta_dane,tipo_dane,formato_dane,ancho_dane,categorias_dane,tipo_en_geih2018_tipado,n_na,n_valores_unicos,minimo,maximo,tipo_recomendado_R,observaciones
directorio,,DANE (diseño muestral / identificación),,,,,,integer,0,10403,4514331.0,4804455.0,integer (llave; no es cantidad),
secuencia_p,,DANE (diseño muestral / identificación),,,,,,integer,0,4,1.0,4.0,integer (llave; no es cantidad),
orden,,DANE (diseño muestral / identificación),,,,,,integer,0,14,1.0,14.0,integer (llave; no es cantidad),
clase,,DANE (diseño muestral / identificación),,,,,,integer,0,1,1.0,1.0,integer constante (no usar),
dominio,,DANE (diseño muestral / identificación),,,,,,character,0,1,,,character (constante BOGOTA),
mes,MES,DANE (pregunta/variable de la GEIH),Mes,Discreta,Carácter,2,,integer,0,12,1.0,12.0,integer; factor si se usa como control,
estrato1,P4030S1A1,DANE (pregunta/variable de la GEIH),Estrato para tarifa,Discreta,Numérico,1,0=Conexión pirata; 1=Bajo - bajo; 2=Bajo; 3=Medio - bajo; 4=Medio; 5=Medio - alto; 6=Alto; 9=No sabe o cuenta con planta eléctrica,integer,0,6,1.0,6.0,factor (categórica; 9 = NA),DANE P4030S1A1 admite 0 (pirata) y 9 (no sabe); en Bogotá solo 1-6
sex,P6020,DANE (pregunta/variable de la GEIH),Sexo,Discreta,Numérico,1,1=Hombre; 2=Mujer,integer,0,2,0.0,1.0,"integer 0/1 (DANE 1=hombre,2=mujer; curso 1=hombre,0=mujer)",recodificada por el curso; construir female = 1 - sex
age,P6040,DANE (pregunta/variable de la GEIH),"¿cuántos años cumplidos tiene...? (si es menor de 1 año, escriba 00)",Continua,Numérico,3,,integer,0,102,0.0,106.0,integer (continua),DANE la declara continua; 3 casos con 99 y edades hasta 106 (no hay tope en 99)
p6050,P6050,DANE (pregunta/variable de la GEIH),¿Cuál es el parentesco de ... con el jefe o jefa del hogar?,Discreta,Numérico,1,"1=Jefe (a) del hogar; 2=Pareja, esposo(a), cónyuge, compañero(a); 3=Hijo(a), hijastro(a); 4=Nieto(a); 5=Otro pariente; 6=Empleado(a) del servicio doméstico y sus parientes; 7=Pensionista; 8=Trabajador; 9=Otro no pariente",integer,0,9,1.0,9.0,factor (categórica),9 = 'Otro no pariente' es categoría válida (no NA)
p6090,P6090,DANE (pregunta/variable de la GEIH),"¿... Está afiliado, es cotizante o es beneficiario de alguna entidad de seguridad social en salud?",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,4888,3,1.0,9.0,factor (categórica; 9 = NA),"código 9 = 'No sabe, no informa' presente en 23 casos: tratar como NA"
p6100,P6100,DANE (pregunta/variable de la GEIH),¿A cuál de los siguientes regímenes de seguridad social en salud está afiliado?,Discreta,Numérico,1,"1=Contributivo (eps)?; 2=Especial ? (fuerzas armadas, ecopetrol, universidades públicas); 3=Subsidiado? (eps-s); 9=No sabe, no informa",integer,7478,4,1.0,9.0,factor (categórica; 9 = NA),"código 9 = 'No sabe, no informa' presente en 29 casos: tratar como NA"
p6210,P6210,DANE (pregunta/variable de la GEIH),¿cuál es el nivel educativo más alto alcanzado por ... Y el último año o grado aprobado en este nivel?,Discreta,Numérico,1,"1=Ninguno; 2=Preescolar; 3=Básica primaria (1o - 5o); 4=Básica secundaria (6o - 9o); 5=Media (10o - 13o); 6=Superior o universitaria; 9=No sabe, no informa",integer,1111,7,1.0,9.0,factor (categórica; 9 = NA),"código 9 = 'No sabe, no informa' presente en 2 casos: tratar como NA"
p6210s1,P6210S1,DANE (pregunta/variable de la GEIH),Grado,Continua,Numérico,2,,integer,4888,17,0.0,99.0,integer (cantidad entera),DANE: 0 = cursa primer año/no aprobó; superior en años completos; 99 en 2 casos con p6210 = 9
p6240,P6240,DANE (pregunta/variable de la GEIH),¿en que actividad ocupó ... La mayor parte del tiempo la semana pasada?,Discreta,Numérico,1,1=Trabajando; 2=Buscando trabajo; 3=Estudiando; 4=Oficios del hogar; 5=Incapacitado permanente para trabajar; 6=Otra actividad,integer,4888,6,1.0,6.0,factor (categórica),
oficio,OFICIO,DANE (pregunta/variable de la GEIH),¿qué hace ... En este trabajo?,Discreta,Carácter,2,,integer,15495,80,1.0,99.0,"factor (DANE: carácter 2 dígitos, CNO-70)",DANE la almacena como carácter de 2 dígitos; en el sitio viene numérica: tratar como factor
p6426,P6426,DANE (pregunta/variable de la GEIH),"¿cuanto tiempo lleva ... Trabajando en esta empresa, negocio, industria, oficina, firma o finca de manera continua?",Continua,Numérico,3,,integer,15495,263,0.0,720.0,integer (cantidad entera),"DANE: 000 menos de un mes, 998 más de 999 meses, 999 no sabe; datos 0-720 sin 998/999"
relab,P6430,DANE (pregunta/variable de la GEIH),En este trabajo ... Es:,Discreta,Numérico,1,1=Obrero o empleado de empresa particular; 2=Obrero o empleado del gobierno; 3=Empleado doméstico; 4=Trabajador por cuenta propia; 5=Patrón o empleador; 6=Trabajador familiar sin remuneración; 7=Trabajador sin remuneración en empresas o negocios de otros hogares; 8=Jornalero o peón; 9=Otro,integer,15495,9,1.0,9.0,factor (categórica),9 = 'Otro' es categoría válida (10 casos); 8 = jornalero (1 caso)
p6500,P6500,DANE (pregunta/variable de la GEIH),Antes de descuentos ¿cuánto ganó ... El mes pasado en este empleo?,Continua,Numérico,8,,integer,21549,661,0.0,34000000.0,integer (cantidad entera),"DANE: 00 = no recibió salario en dinero, 98 = no sabe monto, 99 = no sabe si recibió; datos: 664 ceros, ningún 98/99; el curso convierte 0 a NA en y_salary_m"
p6510,P6510,DANE (pregunta/variable de la GEIH),El mes pasado recibió ingresos por concepto de horas extras?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 10 casos: tratar como NA"
p6510s1,P6510S1,DANE (pregunta/variable de la GEIH),¿cuánto recibió?,Continua,Numérico,7,,integer,21559,91,0.0,2000000.0,integer (cantidad entera),
p6510s2,P6510S2,DANE (pregunta/variable de la GEIH),¿incluyó este valor en los ingresos del mes pasado $__ que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,31282,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6545,P6545,DANE (pregunta/variable de la GEIH),"Primas(técnica, de antigüedad, clima, orden público, otras , etc)",Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 12 casos: tratar como NA"
p6545s1,P6545S1,DANE (pregunta/variable de la GEIH),¿cuánto?,Continua,Numérico,7,,integer,21561,43,0.0,3500000.0,integer (cantidad entera),
p6545s2,P6545S2,DANE (pregunta/variable de la GEIH),¿incluyo esta valor en los ingresos del mes pasado que me declaro anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,32082,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6580,P6580,DANE (pregunta/variable de la GEIH),El mes pasado recibió ... Bonificaciones mensuales?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 4 casos: tratar como NA"
p6580s1,P6580S1,DANE (pregunta/variable de la GEIH),¿cuánto recibió el mes pasado?,Continua,Numérico,7,,integer,21553,78,0.0,47200000.0,integer (cantidad entera),
p6580s2,P6580S2,DANE (pregunta/variable de la GEIH),¿incluyó este valor en los ingresos del mes pasado que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,31811,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6585s1,P6585S1,DANE (pregunta/variable de la GEIH),Auxilio o subsidio de alimentación?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 6 casos: tratar como NA"
p6585s1a1,P6585S1A1,DANE (pregunta/variable de la GEIH),"¿cuánto? (si recibió pero no sabe el monto, escriba 98)",Continua,Numérico,7,,integer,21555,82,0.0,1428000.0,integer (cantidad entera),
p6585s1a2,P6585S1A2,DANE (pregunta/variable de la GEIH),¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?,Discreta,Numérico,1,1=Sí; 2=No,integer,31770,2,1.0,2.0,integer 1/2 -> dummy 0/1 si se usa,
p6585s2,P6585S2,DANE (pregunta/variable de la GEIH),Auxilio o subsidio de transporte?,Discreta,Numérico,1,"1=Sí; 2=No; 9=No sabe, no informa",integer,21549,3,1.0,9.0,integer 1/2/9 -> dummy 0/1 con 9 = NA,"código 9 = 'No sabe, no informa' presente en 54 casos: tratar como NA"
