id_persona,directorio,secuencia_p,orden,chunk,muestra_ps3,entrenamiento,mes,mes_f,fex_c,y_total_m,log_y,y_total_m_ha,y_ingLab_m,y_gananciaIndep_m,y_salary_m,impa,impaes,dane_faltante,age,sex,female,jefe_hogar,p6050,parentesco_f,estrato1,estrato_f,maxEducLevel,educ_f,terciaria,anios_educ,p6210,p6210s1,relab,relab_f,oficio,oficio_f,oficio_grupo,sizeFirm,sizeFirm_f,microEmpresa,cuentaPropia,formal,cotPension,cotiza_pension,regSalud,regSalud_f,p6426,antiguedad_anios,totalHoursWorked,hoursWorkUsual,horas_segundo_empleo,segundo_empleo,quiere_mas_horas,alerta_ingreso_bajo,alerta_ingreso_alto,alerta_horas_altas,alerta_dane_extremo,alerta_extremo
4514331-1-1,4514331,1,1,1,entrenamiento,True,1,1,254.687742271476,1620833.25,14.298450926826845,8404.3203125,1620833.25,,1300000.0,1840833.33333333,,,36,1,0,1,1,Jefe/a,2,2,6.0,Secundaria completa,0.0,11.0,5.0,11.0,2.0,Empleado del gobierno,39.0,39,Administrativos,5.0,Mas de 50 trabajadores,0.0,0,1.0,1.0,1,2.0,Especial,166.0,13.833333333333334,45.0,45.0,0.0,0,0,False,False,False,False,False
4514333-1-1,4514333,1,1,1,entrenamiento,True,1,1,194.208921972393,1378973.375,14.136849849119868,6703.3427734375,1378973.375,,1200000.0,1378973.33333333,,,51,1,0,1,1,Jefe/a,2,2,7.0,Terciaria,1.0,14.0,6.0,3.0,1.0,Obrero/empleado particular,85.0,85,Operarios y transporte,3.0,6-10 trabajadores,0.0,0,1.0,1.0,1,1.0,Contributivo,12.0,1.0,48.0,48.0,0.0,0,0,False,False,False,False,False
4514334-1-1,4514334,1,1,1,entrenamiento,True,1,1,243.45515246432,883357.0,13.691484701388214,3680.65405273438,883357.0,,737717.0,883357.0,,,45,1,0,1,1,Jefe/a,2,2,4.0,Primaria completa,0.0,5.0,3.0,5.0,1.0,Obrero/empleado particular,45.0,45,Comerciantes y vendedores,2.0,2-5 trabajadores,1.0,0,1.0,1.0,1,1.0,Contributivo,15.0,1.25,56.0,56.0,0.0,0,0,False,False,False,False,False
4514335-1-1,4514335,1,1,1,entrenamiento,True,1,1,230.177656890553,700000.0,13.458835614025542,4083.33325195312,700000.0,,700000.0,700000.0,,,61,1,0,1,1,Jefe/a,2,2,3.0,Primaria incompleta,0.0,3.0,3.0,3.0,1.0,Obrero/empleado particular,53.0,53,Servicios,4.0,11-50 trabajadores,0.0,0,0.0,2.0,0,3.0,Subsidiado,120.0,10.0,40.0,40.0,0.0,0,0,False,False,False,False,False
4514338-1-2,4514338,1,2,1,entrenamiento,True,1,1,341.979787849128,1941500.125,14.478971492537067,9437.84765625,1941500.125,,1700000.0,1941500.0,,,35,0,1,0,2,Pareja,2,2,7.0,Terciaria,1.0,16.0,6.0,5.0,2.0,Empleado del gobierno,13.0,13,Profesionales y tecnicos,5.0,Mas de 50 trabajadores,0.0,0,1.0,1.0,1,2.0,Especial,24.0,2.0,48.0,48.0,0.0,0,0,False,False,False,False,False
4514339-1-1,4514339,1,1,1,entrenamiento,True,1,1,352.079215448786,1083000.0,13.895245525983128,6317.5,1083000.0,,950000.0,1083000.0,,,35,0,1,1,1,Jefe/a,2,2,6.0,Secundaria completa,0.0,11.0,5.0,11.0,1.0,Obrero/empleado particular,42.0,42,Comerciantes y vendedores,5.0,Mas de 50 trabajadores,0.0,0,1.0,1.0,1,1.0,Contributivo,36.0,3.0,40.0,40.0,0.0,0,0,False,False,False,False,False
4514339-1-2,4514339,1,2,1,entrenamiento,True,1,1,352.079215448786,1616333.375,14.29567079319789,8571.46484375,1616333.375,,1450000.0,1616333.33333333,,,39,1,0,0,2,Pareja,2,2,7.0,Terciaria,1.0,18.0,6.0,7.0,1.0,Obrero/empleado particular,33.0,33,Administrativos,5.0,Mas de 50 trabajadores,0.0,0,1.0,1.0,1,1.0,Contributivo,94.0,7.833333333333333,44.0,44.0,0.0,0,0,False,False,False,False,False
4514342-1-2,4514342,1,2,1,entrenamiento,True,1,1,254.687742271476,1000000.0,13.815510557964274,5833.33349609375,,1000000.0,,1000000.0,,,29,1,0,0,3,Hijo/a,2,2,7.0,Terciaria,1.0,13.0,6.0,2.0,4.0,Cuenta propia,37.0,37,Administrativos,1.0,Independiente,1.0,1,0.0,2.0,0,,No responde,6.0,0.5,40.0,40.0,0.0,0,0,False,False,False,False,False
4514343-1-1,4514343,1,1,1,entrenamiento,True,1,1,429.27183342678,779000.0,13.565766324852886,3366.04931640625,779000.0,,750000.0,779000.0,,,29,1,0,1,1,Jefe/a,2,2,6.0,Secundaria completa,0.0,11.0,5.0,11.0,1.0,Obrero/empleado particular,45.0,45,Comerciantes y vendedores,2.0,2-5 trabajadores,1.0,0,1.0,1.0,1,1.0,Contributivo,24.0,2.0,54.0,54.0,0.0,0,0,False,False,False,False,False
4514344-1-2,4514344,1,2,1,entrenamiento,True,1,1,205.425424579072,300000.0,12.611537753638338,1666.66662597656,,300000.0,,300000.0,,,44,0,1,0,2,Pareja,2,2,5.0,Secundaria incompleta,0.0,8.0,4.0,8.0,4.0,Cuenta propia,57.0,57,Servicios,1.0,Independiente,1.0,1,0.0,2.0,0,,No responde,6.0,0.5,42.0,42.0,0.0,0,0,False,False,False,False,False
