variable,coef_Incondicional,EE_HC1_Incondicional,coef_Condicional,EE_HC1_Condicional
age,0.08682965556708948,0.004011497131601637,0.07337335605541645,0.003545135652525834
age^2,-0.0010660622258752371,4.9638755629302566e-05,-0.0008409257232693453,4.3615189745106226e-05
const,12.288211113409407,0.07434890629519177,11.96235656829895,0.06947713316375624
relab[Cuenta propia],,,-0.49222629495443765,0.017513966352302537
relab[Empleado del gobierno],,,0.7398301579505737,0.028178951284678937
relab[Empleado domestico],,,-0.6972102370585034,0.029116520552637627
relab[Otro],,,-1.070489773070066,0.22752529864335774
relab[Patron/empleador],,,0.2182917024758695,0.04691553212600895
totalHoursWorked,,,0.01274489980595893,0.0005691943871381623
Edad pico,40.724478111867406,,43.626538007516295,
IC percentil 95%: inferior,40.19055342212197,,42.94488686697405,
IC percentil 95%: superior,41.27490046925099,,44.38483896849953,
R² ponderado,0.052229178021895195,,0.22716368550351695,
RMSE ponderado,0.8711339580638174,,0.78664183038154,
Observaciones,14764.0,,14764.0,
Personas representadas,3686675.5555864675,,3686675.5555864675,
