variante,n,personas_representadas,pico,IC_inf,IC_sup,curvatura,R2
"Incondicional, fex_c",14764,3686675.5555864675,40.724478111867406,40.179732816762076,41.269223406972735,-0.0010660622258752371,0.052229178021895195
"Incondicional, sin pesos",14764,,40.61780555634077,40.064542235574386,41.17106887710715,-0.0010279887081755881,0.05000225062324093
"Sin extremos, fex_c",14209,3542560.264111547,40.98681127838566,40.431514211184364,41.54210834558695,-0.0009683439865941176,0.04988054431733291
"Ingreso por hora, fex_c",14764,3686675.5555864675,42.21796530164911,41.41449150267774,43.021439100620476,-0.0007052183705270804,0.02560149578953297
"Condicional, fex_c",14764,3686675.5555864675,43.626538007516295,42.88009426886867,44.37298174616392,-0.0008409257232693453,0.22716368550351695
Hombres,7775,1958139.9106962923,43.53373463379833,42.74251353013088,44.324955737465785,-0.0010377234297277002,0.06619556549565708
Mujeres,6989,1728535.6448901752,37.73078895559994,36.951334339777475,38.51024357142241,-0.0012422296792293842,0.06729776710367519
Sin terciaria,8649,2183348.5739907576,37.432838699768524,36.435481271969756,38.43019612756729,-0.000698522257402482,0.05856213201954563
Con terciaria,6114,1503057.1683011819,48.399067058988194,46.63846301146055,50.15967110651584,-0.0012777522827962812,0.11281942096546138
Formales,8894,2219300.172757591,43.610392228595614,42.55456789258376,44.66621656460747,-0.0009703948424054586,0.05162251941858187
Informales,5870,1467375.3828288766,40.13291034652115,38.696049863628005,41.569770829414296,-0.0005663071801400348,0.023441538710983534
