grupo,modelo,n,personas_representadas,beta,EE_HC1,IC_inf,IC_sup
Sin terciaria,S0,8649,2183348.573990757,-0.3986514331117902,0.01578321370447889,-0.4295865319725688,-0.3677163342510116
Sin terciaria,S5,8649,2183348.573990757,-0.22811622408895268,0.013228604795440177,-0.25404428948801544,-0.20218815868988993
Con terciaria,S0,6114,1503057.1683011819,-0.16861834159523806,0.02464345935085699,-0.21691952192291775,-0.12031716126755837
Con terciaria,S5,6114,1503057.1683011819,-0.12131079623149277,0.018826418957312373,-0.158210577387825,-0.08441101507516052
Formal,S0,8893,2219030.3594630626,-0.0788175781104514,0.016184753143050467,-0.11053969427083031,-0.047095461950072484
Formal,S5,8893,2219030.3594630626,-0.13243313697044948,0.013649318236737547,-0.15918580071445507,-0.10568047322644389
Informal,S0,5870,1467375.3828288766,-0.48363401614825957,0.021924676753846913,-0.5266063825857995,-0.44066164971071964
Informal,S5,5870,1467375.3828288766,-0.2971295096561879,0.020343973584788684,-0.3370036978823737,-0.25725532143000207
Cuenta propia,S0,4391,1092990.2468053787,-0.5000354033786878,0.03207883617790373,-0.5629099222873791,-0.43716088446999646
Cuenta propia,S5,4391,1092990.2468053787,-0.33547091564064213,0.02733848019651234,-0.3890543368258063,-0.28188749445547795
Empleo particular,S0,8756,2192529.78205796,-0.07090484222211775,0.01623357139765885,-0.1027226421615291,-0.03908704228270641
Empleo particular,S5,8756,2192529.78205796,-0.11543398517959536,0.012301157036901746,-0.13954425297192277,-0.09132371738726794
18 a 35 años,S0,6841,1736509.2596045323,-0.10715716109853592,0.018949206407613904,-0.14429760565745917,-0.07001671653961267
18 a 35 años,S5,6841,1736509.2596045323,-0.11765592532566897,0.014499361273085211,-0.14607467342091598,-0.08923717723042196
36 a 55 años,S0,5978,1477060.7414635827,-0.29312354642398675,0.024814061704362744,-0.34175910736453774,-0.24448798548343575
36 a 55 años,S5,5978,1477060.7414635827,-0.20362287165413726,0.019041249722179274,-0.24094372110960863,-0.16630202219866588
56 o más años,S0,1944,472835.7412238242,-0.6509494036670734,0.05180610097509828,-0.7524893615782661,-0.5494094457558808
56 o más años,S5,1944,472835.7412238242,-0.28887896806314795,0.041741222792888194,-0.3706917647372088,-0.2070661713890871
