modelo,sexo,edad,prediccion,IC_inf,IC_sup
S1,Hombres,18.0,13.515598340453337,13.467064001693494,13.56413267921318
S1,Hombres,19.0,13.567566752812082,13.523888407951391,13.611245097672773
S1,Hombres,20.0,13.617459159461717,13.57829532114405,13.656622997779383
S1,Hombres,21.0,13.665275560402241,13.630258556968995,13.700292563835488
S1,Hombres,22.0,13.711015955633657,13.679744649318128,13.742287261949187
S1,Hombres,23.0,13.754680345155961,13.726712095180517,13.782648595131406
S1,Hombres,24.0,13.796268728969157,13.771112397917186,13.821425060021127
S1,Hombres,25.0,13.835781107073242,13.812894987602238,13.858667226544245
S1,Hombres,26.0,13.873217479468215,13.85201818690509,13.89441677203134
S1,Hombres,27.0,13.90857784615408,13.888465788410707,13.928689903897451
S1,Hombres,28.0,13.941862207130832,13.922262794570454,13.96146161969121
S1,Hombres,29.0,13.973070562398476,13.953479622696854,13.992661502100098
S1,Hombres,30.0,14.002202911957013,13.98221971976638,14.022186104147647
S1,Hombres,31.0,14.029259255806435,14.0085977925077,14.04992071910517
S1,Hombres,32.0,14.054239593946749,14.032720769304436,14.07575841858906
S1,Hombres,33.0,14.077143926377953,14.054677718520155,14.099610134235752
S1,Hombres,34.0,14.097972253100048,14.074537661960314,14.121406844239782
S1,Hombres,35.0,14.116724574113032,14.092351614996353,14.141097533229711
S1,Hombres,36.0,14.133400889416906,14.108155949083018,14.158645829750794
S1,Hombres,37.0,14.148001199011668,14.121975602830652,14.174026795192685
S1,Hombres,38.0,14.160525502897324,14.133826632033907,14.18722437376074
S1,Hombres,39.0,14.170973801073867,14.143718040818108,14.198229561329626
S1,Hombres,40.0,14.179346093541298,14.151652991126587,14.207039195956009
S1,Hombres,41.0,14.185642380299623,14.157629513274747,14.213655247324498
S1,Hombres,42.0,14.189862661348837,14.161640822604452,14.218084500093221
S1,Hombres,43.0,14.192006936688939,14.163675323527343,14.220338549850535
S1,Hombres,44.0,14.192075206319933,14.163716367301989,14.220434045337877
S1,Hombres,45.0,14.190067470241816,14.161741830680285,14.218393109803348
S1,Hombres,46.0,14.18598372845459,14.157723604071286,14.214243852837892
S1,Hombres,47.0,14.179823980958252,14.15162712386426,14.208020838052244
S1,Hombres,48.0,14.171588227752805,14.143411152565596,14.199765302940014
S1,Hombres,49.0,14.161276468838249,14.133028086584877,14.18952485109162
S1,Hombres,50.0,14.148888704214581,14.12042511266032,14.177352295768843
S1,Hombres,51.0,14.134424933881803,14.105546468499554,14.163303399264052
S1,Hombres,52.0,14.117885157839915,14.088336819624924,14.147433496054905
S1,Hombres,53.0,14.09926937608892,14.068745347257178,14.129793404920662
S1,Hombres,54.0,14.07857758862881,14.046729711535336,14.110425465722285
S1,Hombres,55.0,14.055809795459595,14.022258891473726,14.089360699445464
S1,Hombres,56.0,14.030965996581266,13.995314198513833,14.066617794648698
S1,Hombres,57.0,14.004046191993828,13.965888397131074,14.042203986856581
S1,Hombres,58.0,13.975050381697281,13.933983472493695,14.016117290900867
S1,Hombres,59.0,13.943978565691623,13.899607847777393,13.988349283605853
S1,Hombres,60.0,13.910830743976856,13.862773741940636,13.958887746013076
S1,Hombres,61.0,13.875606916552977,13.823495059762415,13.927718773343539
S1,Hombres,62.0,13.838307083419988,13.781785920329853,13.894828246510123
