female,oficio_grupo,n_muestra,personas_representadas
0,Administrativos,814,202552.74122932856
0,Agropecuarios,48,11645.77921316162
0,Comerciantes y vendedores,1120,284836.57685558824
0,Directivos,291,74801.95941536746
0,Operarios y transporte,3061,776358.9581068398
0,Profesionales y tecnicos,1386,339480.76975047303
0,Servicios,1054,268193.31283100485
1,Administrativos,1277,315111.7620037195
1,Agropecuarios,11,2643.106278895062
1,Comerciantes y vendedores,1217,303395.5886425704
1,Directivos,280,70252.52949515654
1,Operarios y transporte,700,172583.22690693973
1,Profesionales y tecnicos,1217,296228.93707101827
1,Servicios,2287,568320.4944918759
