variable,delta_RMSE_validacion,sd_permutaciones,delta_RMSE_reajuste
totalHoursWorked,0.107177280365526,0.004138448276456872,0.04045583497052463
anios_educ,0.09781742485029349,0.0039391435119060375,0.005152242986409261
oficio_grupo,0.07360862941452122,0.0035495696599043766,0.0010808612754696911
estrato_f,0.06387639044493314,0.0035569469378014225,0.021537418165393674
oficio_f,0.03955114075448314,0.0018189194805074214,0.006263264825745685
relab_f,0.037559112364473596,0.005613426182128689,0.0063286834371699685
sizeFirm_f,0.0242707596205584,0.001700087291528957,0.0019911390795029904
antiguedad_anios,0.02301794892616071,0.0027914652340866597,0.010013928063498878
age,0.02245118942966179,0.002473359777442939,0.006253545948998074
female,0.014732460589794716,0.001996770462805208,0.0028666396652941017
cotiza_pension,0.013727814030107931,0.0007215645534233025,0.001135336828770761
microEmpresa,0.011396109948305458,0.0008806911384451167,-2.377343825532563e-05
educ_f,0.010924547199160368,0.001374658139572203,0.0009545064620781751
regSalud_f,0.002582629570647636,0.00047638920674272035,0.0007143843392495297
formal,0.0023998577455831374,0.0008858378816821873,0.001207391914862077
parentesco_f,0.0022528108509929996,0.00044333904491201264,0.00044128389060438256
jefe_hogar,0.0017470236578803126,0.0003881490675863916,1.0286923130209402e-05
quiere_mas_horas,0.001622696202678749,0.0004974108387294673,0.0003744111281285267
cuentaPropia,6.240748749172242e-05,9.799367459900828e-05,8.379404751734931e-06
