variable,valor,prediccion_media_log
totalHoursWorked,18.0,13.27608873490672
totalHoursWorked,27.0,13.60386239896341
totalHoursWorked,35.0,13.807788126979027
totalHoursWorked,40.0,13.878685643858308
totalHoursWorked,44.0,13.905333283912091
totalHoursWorked,48.0,13.939667802634077
totalHoursWorked,50.0,13.96027583324394
totalHoursWorked,54.0,13.97977585870056
totalHoursWorked,57.20000000000027,13.98940935412617
totalHoursWorked,60.0,13.998654911646577
totalHoursWorked,70.0,14.03705082327077
totalHoursWorked,72.0,14.045505550974156
